Sr. No.,Party Type,Abbreviation,Party Symbol,Party Name
423,U,MAHP,Plastering trowel,Mahanwadi Party
424,U,MAIIJP,Whistle,Mission All India Independent Justice Party
425,U,MANAK,Pressure cooker,Makkal Nalvaazhvuk Katchi
426,U,MANBP,Room cooler,Manviya Bharat Party
427,U,ManKP,Soap dish,Manav Kranti Party
428,U,MARD,Boat with man and sail,Mera Adhikaar Rashtriya Dal
429,U,MBCOI,Scissors,Most Backward Classes Of India
430,U,MBMP,Apple,Mera Bharat Mahan Party
431,U,MCPI,Computer,Marxist Communist Party of India (United)
432,U,MDMK,Matchbox,Marumalarchi Dravida Munnetra Kazhagam
433,U,MEDP,Flute,Megh Desham Party
434,U,mimm,Gas cylinder,Mithilanchal Mukti Morcha
435,U,MJLMSMJP,Bat,Majloom Samaj Party
436,U,MKUP,Scissors,Majdoor Kisan Union Party
437,U,MLCNG,"Auto- rickshaw,Ganna kisan",Malwa Congress
438,U,MLD,Diamond,Manas Lokshakti Dal
439,U,MLPOIRF,Bat,Marxist Leninist Party of India (Red Flag)
440,U,MMKA,Gas cylinder,Tamizhaga Murpokku Makkal Katchi
441,U,MNDB,Boat with man and sail,Mission Naya Digant Party
442,U,MNDP,Crane,Minorities Democratic Party
443,U,MNGSMJP,Bat,Mang Samaj Party
444,U,MNK,Bead necklace,Makkal Nala Kazhagam
445,U,MOSP,"Batsman,Hockey and ball",Moolniwasi Samaj Party
446,U,MPC,Electric bulb,Mizoram People's Conference
447,U,MPJVP,Pressure cooker,Madhya Pradesh Jan Vikas Party
448,U,MPOI,"Black board,Whistle",Mulnibasi Party of India
449,U,MSMDNP,Letter box,Manav Samadhan Party
450,U,MTP,Glass tumbler,Maa Telangana Party
451,U,MTRSP,Camera,Mana Telangana Rashtra Samaikya Party
452,U,MVA,"Gas cylinder,Road roller,T.V. Remote,Whistle",Maharashtra Vikas Aghadi
453,U,MwSP,"Diamond,Scissors",Manavtawadi Samaj Party
454,U,NADLMMKLK,Auto- rickshaw,Naadaalum Makkal Katchi
455,U,nafp,Auto- rickshaw,National Future Party
456,U,NAPt,Apple,National Apni Party
457,U,NATJUP,"Telephone,Truck",Nationalist Justice Party
458,U,NAUP,Diamond,National Awami United Party
459,U,NavaP,"Glass tumbler,Hour glass,Mike",Navataram Party
460,U,NBBHNRSVP,"Gas cylinder,Television",Naba Bharata Nirmana Seva Party
461,U,NBEP,"Auto- rickshaw,Gas cylinder,Spanner,Television,Whistle",Naki Bharatiya Ekta Party
462,U,NBHS,"Gas cylinder,Matchbox,Tiller",Navabharath Sena
463,U,NBNGPLPP,Auto- rickshaw,North Bengal People’s Party
464,U,NBPP,Gas cylinder,National Black Panther Party
465,U,NDS,"Apple,Diamond",Nyaydharmsabha
466,U,NETHNP,Coconut farm,Neethi Nijayithi Party
467,U,NGPP,Pot,New Generation People’s Party
468,U,NIDP,"Air conditioner,Battery Torch",Naam Indiar Party
469,U,NIP,Baby walker,New India Party
470,U,NIUP,"Air conditioner,Chain,Ganna kisan",New India United Party
471,U,NJMP,Whistle,National Janmandal Party
472,U,NJNDL,Letter box,National Jan Dal
473,U,NLP,Ganna kisan,National Loktantrik Party
474,U,NMSP,Hockey and ball,National Maha Sabha Party
475,U,NNKP,"Gas Stove,Glass tumbler,Hand cart,Plastering trowel,Road roller",National Nava Kranthi Party
476,U,NNRP,Shoe,Naari Nar Rakshak Party
477,U,NP,Throwing a javelin,National Party
478,U,NPM,Boat with man and sail,Navyug Pragatisheel Morcha
479,U,NPT,Bat,Navodayam Party
480,U,NRCP,"Bucket,Glass tumbler",Navarang Congress Party
481,U,NRPI,Road roller,National Republic Party Of India
482,U,NRSP,Trumpet,New Rashtriya Samaj Party
483,U,NSBHP,Ship,Navsarjan Bharat Party
484,U,NSCBRAP,Box,Netaji Subhash Chander Bose Rashtriya Azad Party
485,U,NTK,Mike,Naam Tamilar Katchi
486,U,NWLBRP,Ring,New Labour Party
487,U,NWLP,Diamond,National World Leader Party
488,U,NYP,Auto- rickshaw,National Youth Party
489,U,ODSHJP,Flute,Odisha Janata Party
490,U,PAP,Diamond,Prajatantra Aadhar Party
491,U,PASIP,Sewing machine,Public Adhikar Socialist Indian Party
492,U,PBI,"Flute,Plate containing food,Ship","Proutist Bloc, India"
493,U,PBLBRP,Air conditioner,Prabal Bharat Party
494,U,PBM,"Air conditioner,Kettle",Prabuddhwadi Bahujan Morcha
495,U,PCHVP,Table,Paschimanchal Vikas Party
496,U,PDS,Pen nib with seven rays,Party for Democratic Socialism
497,U,PECP,Glass tumbler,Peace Party
498,U,PEOPRTCP,Brief case,People Protection Party
499,U,PEP,Pressure cooker,Praja Ektha Party
500,U,PGSP,Helmet,Pragatisheel Samaj Party
501,U,PHCPP,Gas cylinder,Pehchan People’s Party
502,U,PHJSP,"Batsman,Ganna kisan,Stumps,Whistle",Prahar Janshakti Party
503,U,PLTIJSTP,Kettle,Political Justice Party
504,U,PMK,Mango,Pattali Makkal Katchi
505,U,PMPT,"Batsman,Diesel pump",Purvanchal Mahapanchayat
506,U,pms,Auto- rickshaw,Pragatisheel Magahi Samaj
507,U,PMSP,Ganna kisan,Pragatisheel Manav Samaj Party
508,U,PMTDK,Chappals,Puthiya Makkal Tamil Desam Katchi
509,U,PNGDSP,Nagrik,Punnagai Desam Party
510,U,PNJBNP,"Diamond,Football player",Punjab National Party
511,U,PPI,Almirah,Parcham Party of India
512,U,PPID,"Air conditioner,Auto- rickshaw,Basket,Basket containing Fruits,Black board,School bag",Peoples Party of India (Democratic)
513,U,PPIS,Grapes,People's Party of India(secular)
514,U,PPOI,"Baby walker,Flute,Television",Pyramid Party of India
515,U,PPSP,Air conditioner,Pachchasi Parivartan Samaj Party
516,U,PRCP,"Auto- rickshaw,Bat,Bead necklace,Carrom board,Ganna kisan,Ship",Prabuddha Republican Party
517,U,PRJP,Ring,Prithviraj Janshakti Party
518,U,PRJPP,Boat with man and sail,Praja Prasthanam Party
519,U,PRJVLGUP,Camera,Praja Velugu Party
520,U,PRJVNIP,Matchbox,Prajavani Party
521,U,PRSHP,Pot,Praja Shanthi Party
522,U,PRVPOI,Air conditioner,Parivartan Party of India
523,U,PS,Almirah,Prajarajya Samithi
524,U,PSJP,Auto- rickshaw,Parivartan Samaj Party
525,U,PSPU,Whistle,Pichhara Samaj Party United
526,U,PSS,Ganna kisan,Proutist Sarva Samaj
527,U,PUNP,Whistle,People’s Union Party
528,U,PuPP,"Auto- rickshaw,Laptop,Pencil sharpner,Sewing machine,Syringe",Public Political Party
529,U,RACHEP,Television,Rashtrawadi Chetna Party
530,U,RaCP,Hockey and ball,Rashtriya Congress(J) Party
531,U,RaJPa,"Batsman,Computer,Telephone",Rashtriya Jankranti Party
532,U,RAJUP,Walking stick,Rashtriya Janutthan Party
533,U,RaNP,"Bucket,Pot",Rashtra Nirman Party
534,U,RasLP,Coconut farm,Rashtriya Lokswaraj Party
535,U,RASMARP,"Batsman,Rubber stamp,Trumpet",Rashtriya Maratha Party
536,U,RASTSA,Chakki,Rashtriya Janshakti Samaj Party
537,U,RATLJNTAP,Whistle,Rastriya Atal Janta Party
538,U,raup,Cauliflower,Rashtriya Uttarakhand Party
539,U,RBS,"Sewing machine,Whistle",Republican Bahujan Sena
540,U,RCMP,Ring,Rani Chennamma Party
541,U,RDD,Boat with man and sail,Rashtra Dharak Dal
542,U,RGD,Batsman,Rashtriya Garib Dal
543,U,RGOP,Saw,Rashtriya Gondvana Party
544,U,RJ,Scissors,Rashtriya Janmorcha
545,U,RJANSWP,Water melon,Rashtriya Jansangharsh Swaraj Party
546,U,RJAVP,Electric pole,Rashtriya Jatigat Aarakshan Virodhi Party
547,U,RJBP,Cauliflower,Rashtriya Jansambhavna Party
548,U,RJBVP,Table,Rashtriya Jantantrik Bharat Vikas Party
549,U,RJKMP,Flute,Rashtriya Jan Karmath Party
550,U,RJKPS,Boat with man and sail,Rashtriya Jan Kalyan Party Secular
551,U,RJnJnP,Bat,Rashtriya Jan Jan Party
552,U,RJnPty,Sewing machine,Rashtriya Jansena Party
553,U,RJP(E),Glass tumbler,Rashtriya Janshakti Party(Eklavya)
554,U,RJsbhP,Coconut farm,Rashtriya Jansabha Party
555,U,RJSNP,Coat,Rashtriya Janhit Sangharsh Party
556,U,RJSPS,Chakki,Rashtriya Janshakti Party (Secular)
557,U,RJSTHNRJP,Binoculars,Rajasthan Raj Party
558,U,RJUP,Auto- rickshaw,Rashtriya Jan Utkarsh Party
559,U,RKBP,"Camera,Ganna kisan,Pressure cooker,Ring,Road roller",Rashtriya Kisan Bahujan Party
560,U,RKSYPP,Plate containing food,Rishivadi Karm Sheel Young Parmarthi Party
561,U,RLD,Hand pump,Rashtriya Lok Dal
562,U,RLPI,Green chilli,Rashtravadi Loktantrik Party (India)
563,U,RMBP,"Chappals,Diamond,Pressure cooker",Rashtriya Mahaswaraj Bhumi Party
564,U,RMEP,Truck,Rashtriya Mazdoor Ekta Party
565,U,RMGLMP,Bucket,Rashtriya Mangalam Party
566,U,RNVP,Apple,Rashtriya Narayanwadi Vikas Party
567,U,RPC(S),"Diamond,Ganna kisan,Gas cylinder,Glass tumbler,Ring",Rashtriya Praja Congress (Secular)
568,U,RPI,"Apple,Carrom board,Letter box,Ring",Republican Party of India
569,U,RPI(A),"Almirah,Auto- rickshaw,Bat,Coconut farm,Diamond,Gas cylinder,Head phone,Laptop,Pressure cooker,Sewing machine,Ship",Republican Party of India (A)
570,U,RPI(S),T.V. Remote,Republican Party of India (Sivaraj)
571,U,RPIA,Scissors,Radical Party of India (Ambedkarist)
572,U,RPIB,Balloon,Republican Party of India Bharatha
573,U,RPIK,"Gas cylinder,Gas Stove,Television",Republican Party of India (Karnataka)
574,U,RPIS,Gas Stove,Republican Party of India (Social)
575,U,RPPRINAT,"Basket containing Fruits,Battery Torch,Dolli,Ganna kisan,Hockey and ball,Jackfruit,Pen nib with seven rays,School bag,Ship",Republican Party of India (Athawale)
576,U,rpsn,Gas cylinder,Republican Sena
577,U,RPWP,CCTV Camera,Rashtriya Power Party
578,U,RRP,Balloon,Rashtriya Rashtrawadi Party
579,U,RRS,Diamond,Rayalaseema Rashtra Samithi
580,U,RSD,Whistle,Rashtriya Sawarn Dal
581,U,RSHSNSP,Almirah,Rashtriya Sanskriti Party
582,U,RSHTBHUP,Truck,Rashtriy Bahujan Party
583,U,RSHTLKM,Gas cylinder,Rashtriya Lok Morcha
584,U,RSHTMNVP,Nagrik,Rashtriya Manav Party
585,U,RSHTSMNYPP,"Air conditioner,Baby walker",Rashtra Samanya Praja Party
586,U,RSMD,Scissors,Rashtriya Samanta Dal
587,U,RSOSP,"Ganna kisan,Hockey and ball",Rashtriya Shoshit Samaj Party
588,U,RSPS,"Almirah,Black board,Diamond,Refrigerator,Television,Whistle",Rashtriya Samaj Paksha
589,U,RSSCMJP,Envelope,Rashtriya Secular Majlis Party
590,U,RSSDP,Batsman,Rashtriya Sant Sandesh Party
591,U,RSTHNDEKD,Auto- rickshaw,Rashtriya Hind Ekta Dal
592,U,RSTJLKPS,Cot,Rashtrawadi Janlok Party (Satya)
593,U,RSTRSMPRP,Helmet,Rashtra Samarpan Party
594,U,RSTRSNTP,Diamond,Rashtriya Sanatan Party
595,U,RSTRSURKP,Bricks,Rashtriya Suraksha Party
596,U,RSTWDIBHRT,"Air conditioner,Diamond",Rashtravadi Bharat Party
597,U,RSUP,Truck,Rashtra Uday Party
598,U,RSVP,Trumpet,Rashtriya Samta Vikas Party
599,U,RSWD,Almirah,Rashtra Sewa Dal
600,U,RTBHP,Tiller,Raita Bharat Party
601,U,RTJAWP,Diamond,Rashtriya Jan Awaz Party
602,U,RTJNMS,Whistle,Rashtriya Janmanch (Secular)
603,U,RTJSD,Battery Torch,Rashtriya Jansanchar Dal
604,U,RTORP,"Letter box,Pressure cooker",Right to Recall Party
605,U,RTPP,Sewing machine,Rashtriya Republican Party
606,U,RtrJP,Cot,Rashtriya Janta Party
607,U,RTRYDVBHMP,"Apple,Flute",Rashtriya Devbhumi Party
608,U,RTSMJD,"Ring,Whistle",Rashtriya Samaj Dal (R)
609,U,RUC,"Auto- rickshaw,Bat,Coconut farm,Gas cylinder",Rashtriya Ulama Council
610,U,RViP,Gas cylinder,Rashtriya Vikalp Party
611,U,RVP,Ganna kisan,Rashtriya Vikas Party
612,U,SAAFP,Brush,Sathi Aur Aapka Faisala Party
613,U,SABJANP,Electric pole,Sabhi Jan Party
614,U,SaBP,Almirah,Sankhyanupati Bhagidari Party
615,U,SACP,Whistle,Sabse Achchhi Party
616,U,SACSP,Stethoscope,Sacho Sach Party
617,U,SAD(M),Bucket,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
618,U,SAJP,"Cauliflower,Coconut farm,Tiller",Samajwadi Janata Party(Karnataka)
619,U,SamAP,Petrol pump,Saman Adhikar Party
620,U,SAMO,Battery Torch,Samruddha Odisha
621,U,SamSP,Electric pole,Samata Samadhan Party
622,U,SANBP,Diamond,Sanyukt Bharat Paksh
623,U,SANKISVP,Ganna kisan,Sanyukt Kisan Vikas Party
624,U,SAP,"Air conditioner,Almirah,Batsman,Battery Torch,Box,Coat,Flute,Gas cylinder,Nagrik,Sewing machine,Telephone",Samata Party
625,U,SaPP,Scissors,Samaj Parivartan Party
626,U,SaRaPa,"Battery Torch,Ring",Sanman Rajkiya Paksha
627,U,SaSP,"Bangles,CCTV Camera,Computer,Ganna kisan,Gas cylinder,Grapes,Whistle",Sainik Samaj Party
628,U,SaSPa,Auto- rickshaw,Sarvjan Samta Party
629,U,SatBP,Black board,Satya Bahumat Party
630,U,SBKP,Auto- rickshaw,Sampoorna Bharat Kranti Party
631,U,SBM,Television,Samaj Bhalai Morcha
632,U,SBNP,Gas cylinder,Swaraj Bhartiya Nyay Party
633,U,SBSP,Walking stick,Suheldev Bharatiya Samaj Party
634,U,SBSPSP,Almirah,Subhashwadi Bhartiya Samajwadi Party (Subhas Party)
635,U,SDC,Ship,Secular Democratic Congress
636,U,SDPI,"Auto- rickshaw,Gas cylinder,Sewing machine",Social Democratic Party Of India
637,U,SERSNMH,"Ganna kisan,Gas Stove",Swarajya Sena (Maharashtra)
638,U,SJAP,Gas cylinder,Sarvjan Awaz Party
639,U,SJPA,"Gas cylinder,Whistle",Sarva Janata Party
640,U,SJPI,Nagrik,Social Justice Party of India
641,U,SJSMP,Laptop,Sajag Samaj Party
642,U,SJVP,Apple,Sanjhi Virasat Party
643,U,SKJLP,"Ship,Television",Sakala Janula Party
644,U,SLDP,Air conditioner,Shiromani Lok Dal Party
645,U,SMARTIP,Auto- rickshaw,Smart Indians Party
646,U,SMBSP,"Bench,Sofa",Samrat Mihir Bhoj Samaj Party
647,U,SMJDRP,"Bat,Gas cylinder",Samajhdar Party
648,U,SMJSKTP,"Almirah,Scissors",Samaj Shakti Party
649,U,SMJSNGP,School bag,Samajik Sangharsh Party
650,U,SMJVKP,"Electric pole,Ganna kisan",Samaj Vikas Kranti Party
651,U,SMJWDLKPRS,Apple,Samajwadi Lok Parishad
652,U,SMKNK,"Bead necklace,Gas cylinder,Ring",Samaniya Makkal Nala Katchi
653,U,SMKP,Plastering trowel,Samyak Party
654,U,SMNKJP,"Gas cylinder,Road roller,Ship",Samnak Janta Party
655,U,SMSSMJP,Battery Torch,Samst Samaj Party
656,U,SNHRABHRTP,Pen nib with seven rays,Sunahara Bharat Party
657,U,SNYGWDIP,Bat,Sanyogwadi Party
658,U,SP(I),"Air conditioner,Basket containing Fruits,Battery Torch,CCTV Camera,Coconut farm,Frock,Ganna kisan,Gas cylinder,Pot",Socialist Party (India)
659,U,SPAKP,Swing,Sapaks Party
660,U,SPIP,Binoculars,Super Power India Party
661,U,SPSTWDJAP,Bat,Spashtwadi Jan Aadhar Party
662,U,SRKRP,Funnel,Swaraj Kranti Party
663,U,SRPP,Flute,Sikkim Republican Party
664,U,SRPSP,Jackfruit,Sardar Patel Siddhant Party
665,U,SRSMJNP,Table,Sarva Samaj Janata Party
666,U,SRVADID,Man blowing turha,Sarv Adi Dal
667,U,SRVLKTSP,Apple,Sarvlokhit Samaj Party
668,U,SRVRP,Diamond,Sarvar Party
669,U,SSBD,"Gas cylinder,Scissors",Shakti Sena (Bharat Desh)
670,U,SSD,Saw,Shoshit Samaj Dal
671,U,SSF,Table,Sehajdhari Sikh Party
672,U,ssrd,Grapes,Sanatan Sanskriti Raksha Dal
673,U,SSS,Diamond,Swarajya Shakti Sena
674,U,STHSHKRVP,Gas cylinder,Saath Sahakar Vikas Party
675,U,STWDRKSKP,Window,Satyawadi Rakshak Party
676,U,SUCI,"Auto- rickshaw,Bat,Battery Torch,Gas cylinder,Glass tumbler,Pot,Pressure cooker,Saw",Socialist Unity Centre Of India (COMMUNIST)
677,U,SUSP,Glass tumbler,Sunder Samaj Party
678,U,svjn,Dish antenna,Sarvjan Lok Shakti Party
679,U,SVPP,"Mike,Whistle",Sardar Vallabhbhai Patel Party
680,U,SVSAP,"Ludo,Tongs",Sarv Samaj Party
681,U,SWAJANPA,Swing,Swatantra Jantaraj Party
682,U,SWJP,Hand cart,Samajwadi Jan Parishad
683,U,SWNTRABYKT,Nagrik,Swatantrata Abhivyakti Party
684,U,SWP,Whistle,Swabhimani Paksha
685,U,SWSSP,Glass tumbler,Swayam Shashan Party
686,U,SWTNKSP,Ganna kisan,Swatantra Kisan Party
687,U,SZPB,Pot,Supreme Zero Party of Bharat
688,U,TAGRNP,Nagrik,The Agrani Party
689,U,TCPY,Bat,Telugu Congress Party
690,U,TJP,Battery Torch,Telangana Jaghir Party
691,U,TK,Matchbox,Thakkam Katchi
692,U,TLGNARJYS,Glass tumbler,Telangana Rajya Samithi
693,U,TLGUNGP,Diamond,Telugu Nava Garjana Party
694,U,TLRDSMTP,Rubber stamp,Telugu Rajadhikara Samiti Party
695,U,TMC(M),Bicycle,Tamil Maanila Congress (Moopanar)
696,U,TMK,"Well,Whistle",Tamilar Makkal Katchi
697,U,TMMDK,"Auto- rickshaw,Ship",Tamil Manila Murpokku Dravida Kazhagam
698,U,TMNK,Matchbox,Tamilaga Makkal Nala Katchi
699,U,TMNP,Computer,Tamilnadu Makkal Nalvazhvu Periyakkam
700,U,TMTHK,Diamond,Tamilaga Makkal Thannurimai Katchi
701,U,TNRMPI,Gas Stove,The National Road Map Party of India
702,U,TPJRP,Hockey and ball,Telangana Prajaa Jeevana Rythu Party
703,U,TPSP,"Road roller,Vacuum cleaner",Telangana Praja Shakthi Party
704,U,TPSTP,"Battery Torch,Bricks,Ganna kisan,Pressure cooker",Tipu Sultan Party
705,U,TRP,"Almirah,Mike",Telangana Republican Party
706,U,TRPS,Telephone,Telangana Rashtra Punahnirmana Samithi
707,U,TSP,Chapati roller,Telangana Sakalajanula Party
708,U,TTPty,Auto- rickshaw,Twenty 20 Party
709,U,UKKD,"Diamond,Ice cream,Walking stick",Uttarakhand Kranti Dal
710,U,UMEDPI,Auto- rickshaw,Ummeed Party of India
711,U,UMK,"Auto- rickshaw,Gas cylinder",Ulzaipali Makkal Katchy
712,U,UPJP,"Auto- rickshaw,Chappals",Uttama Prajaakeeya Party
713,U,UPP,Scissors,Uttarakhand Parivartan Party
714,U,UPRP,Battery Torch,Uttar Pradesh Republican Party
715,U,URPI,"Gas cylinder,Pot",United Republican Party of India
716,U,US,Boat with man and sail,Utkal Samaj
717,U,UTRASMNTP,Letter box,Uttarakhand Samanta Party
718,U,VBA,"Air conditioner,Almirah,Auto- rickshaw,Ganna kisan,Gas cylinder,Kettle,Pressure cooker,Road roller,Whistle",Vanchit Bahujan Aaghadi
719,U,VCK,"Auto- rickshaw,Pot,T.V. Remote",Viduthalai Chiruthaigal Katchi
720,U,VINPA,Gas cylinder,Vikas India Party
721,U,VIP,Auto- rickshaw,Vanchitsamaj Insaaf Party
722,U,VIPty,Ganna kisan,Vikas Insaf Party
723,U,VKK,Coconut farm,Viduthalai Kalam Katchi
724,U,VKRMSP,Spanner,Vishwa Kalyan Rashtriya Manav Samaj Party
725,U,VKVIP,"Bat,Diamond,Football player,Gas cylinder,Grapes,Helmet,Ship",Viro Ke Vir Indian Party
726,U,VPI,"Auto- rickshaw,Gas cylinder,Gas Stove",Voters Party International
727,U,VRA,Scissors,Vidarbha Rajya Aghadi
728,U,VSIP,Lady purse,Vikassheel Insaan Party
729,U,VSJNP,Air conditioner,Vishal Janta Party
730,U,VSP,"Ganna kisan,Matchbox",Vishva Shakti Party
731,U,VTIP,Chappals,Vidiyalai Thedum Indhiyargal Party
732,U,VTIPP,Envelope,Voters Independent Party
733,U,VTRP,Bat,Vidhyarthula Rajakiya Party
734,U,VTVTK,Pestle and mortar,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi
735,U,WAP,Chimney,Wazib Adhikar Party
736,U,WPOI,Gas cylinder,Welfare Party Of India
737,U,YBS,Telephone,Yuva Bihar Sena
738,U,YGATLSIP,Road roller,Yuga Thulasi Party
739,U,YIPP,Flute,Youth India Peace Party
740,U,YKP,Water melon,Yuva Krantikari Party
741,U,YSEP,Mike,Young Star Empowerment Party
742,U,YVP,Ganna kisan,Yuva Vikas Party
743,U,YVTRP,Gas cylinder,Yuva Taram Party
744,Z,IND,"Air conditioner,Almirah,Apple,Auto- rickshaw,Baby walker,Balloon,Bangles,Basket containing Fruits,Bat,Batsman,Battery Torch,Bead necklace,Belt,Bench,Bicycle pump,Binoculars,Biscuit,Black board,Boat with man and sail,Box,Bread,Brick,Bricks,Brief case,Brush,Bucket,Cake,Calculator,Camera,Can,Capsicum,Carpet,Carrom board,Cauliflower,CCTV Camera,Chain,Chakki,Chapati roller,Chappals,Chess board,Chimney,Clip,Coat,Coconut farm,Colour tray & brush,Computer,Computer mouse,Cot,Crane,Cube,Cutting pliers,Diamond,Diesel pump,Dish antenna,Dolli,Door bell,Door handle,Drill machine,Dumbbells,Dustbin,Ear rings,Electric pole,Envelope,Flute,Football player,Fountain,Frock,Frying pan,Funnel,Ganna kisan,Gas cylinder,Gas Stove,Gift pack,Ginger,Glass tumbler,Gramophone,Grapes,Green chilli,Hand cart,Harmonium,Head phone,Helmet,Hockey and ball,Hour glass,Ice cream,Immersion rod,Iron,Jackfruit,Kettle,Lady finger,Lady purse,Laptop,Latch,Letter box,Lighter,Ludo,Lunch box,Matchbox,Mike,Mixee,Nagrik,Nail cutter,Neck tie,Noodles bowl,Pan,Pears,Peas,Pen drive,Pen nib with seven rays,Pen stand,Pencil box,Pencil sharpner,Pendulum,Pestle and mortar,Petrol pump,Phone charger,Plastering trowel,Plate containing food,Pot,Pressure cooker,Refrigerator,Ring,Road roller,Robot,Room cooler,Rubber stamp,Safety pin,Saw,School bag,Scissors,Sewing machine,Ship,Shoe,Sitar,Slate,Soap dish,Socks,Sofa,Spanner,Stethoscope,Stool,Stumps,Swing,Syringe,T.V. Remote,Table,Tea filter,Telephone,Television,Tennis racket & ball ,Tent,Throwing a javelin,Tiller,Toffee,Toffees,Tongs,Tray,Triangle,Truck,Trumpet,Tube light,Typewriter,Tyres,Vacuum cleaner,Violin,Walking stick,Wall hook,Wallet,Water melon,Water tank,Well,Wheel barrow,Whistle,Window,Wool and Needle",Independent
745,Z1,NOTA,NOTA,None of the Above
